Property Name,Visits,Values Accumulated,Trial Number,Position Number 
Pall_mall,66,6600,2633,11
Vine_street,76,12160,2634,19
Transfalgar_square,64,12800,2635,24
leicester_square,73,16060,2636,26
Supertax,66,66000,2637,38
Old_kent,59,1180,2638,1
First_chance,48,48,2639,7
Pall_mall,67,6700,2640,11
Bow_street,72,10080,2641,16
Fleet_street,72,12960,2642,23
leicester_square,74,16280,2643,26
Supertax,67,67000,2644,38
Old_kent,60,1200,2645,1
White_hall,73,7300,2646,13
Transfalgar_square,65,13000,2647,24
Go_to_jail,58,58,2648,30
Electric_company,75,6000,2649,12
Transfalgar_square,66,13200,2650,24
Third_community_chest,68,68,2651,33
Liverpool_station,58,14500,2652,35
The_angel_islington,74,4440,2653,6
Pall_mall,68,6800,2654,11
Fleet_street,73,13140,2655,23
Picadilly,61,14640,2656,29
Third_community_chest,69,69,2657,33
First_community_chest,61,61,2658,2
The_angel_islington,75,4500,2659,6
Pentoville,67,5360,2660,9
White_hall,74,7400,2661,13
Bow_street,73,10220,2662,16
Water_works,74,5920,2663,28
Mayfair,61,30500,2664,39
Euston,59,3540,2665,8
Northhumber,65,7800,2666,14
Marlborough_street,60,8400,2667,18
Second_chance,84,84,2668,22
Third_community_chest,70,70,2669,33
Supertax,68,68000,2670,38
Income_Tax,67,134000,2671,4
Just_visiting,52,52,2672,10
Maryleborne_station,67,16750,2673,15
Second_community_chest,58,58,2674,17
Water_works,75,6000,2675,28
Regent_street,90,23400,2676,31
Go,58,58,2677,0
Euston,60,3600,2678,8
White_hall,75,7500,2679,13
Fleet_street,74,13320,2680,23
Conventry_street,70,15400,2681,27
Third_chance,67,67,2682,36
King_cross_station,65,16250,2683,5
White_hall,76,7600,2684,13
Free_parking,74,74,2685,20
Picadilly,62,14880,2686,29
Oxford_street,60,15600,2687,32
Parklane,63,22050,2688,37
Mayfair,62,31000,2689,39
Income_Tax,68,136000,2690,4
Maryleborne_station,68,17000,2691,15
Transfalgar_square,67,13400,2692,24
Water_works,76,6080,2693,28
Regent_street,91,23660,2694,31
White_chapel,62,2480,2695,3
Pall_mall,69,6900,2696,11
Second_community_chest,59,59,2697,17
Free_parking,75,75,2698,20
Second_chance,85,85,2699,22
Oxford_street,61,15860,2700,32
Go,59,59,2701,0
Just_visiting,53,53,2702,10
Second_chance,86,86,2703,22
Transfalgar_square,68,13600,2704,24
Regent_street,92,23920,2705,31
Third_community_chest,71,71,2706,33
First_community_chest,62,62,2707,2
Income_Tax,69,138000,2708,4
Pall_mall,70,7000,2709,11
Vine_street,77,12320,2710,19
Water_works,77,6160,2711,28
Parklane,64,22400,2712,37
First_community_chest,63,63,2713,2
Income_Tax,70,140000,2714,4
Euston,61,3660,2715,8
Free_parking,76,76,2716,20
Regent_street,93,24180,2717,31
First_community_chest,64,64,2718,2
First_chance,49,49,2719,7
Maryleborne_station,69,17250,2720,15
leicester_square,75,16500,2721,26
Third_chance,68,68,2722,36
King_cross_station,66,16500,2723,5
Just_visiting,54,54,2724,10
Marlborough_street,61,8540,2725,18
leicester_square,76,16720,2726,26
Go_to_jail,59,59,2727,30
Free_parking,77,77,2728,20
Second_chance,87,87,2729,22
Conventry_street,71,15620,2730,27
Picadilly,63,15120,2731,29
Liverpool_station,59,14750,2732,35
White_chapel,63,2520,2733,3
Just_visiting,55,55,2734,10
Vine_street,78,12480,2735,19
Fenchchurch_station,74,18500,2736,25
Parklane,65,22750,2737,37
King_cross_station,67,16750,2738,5
Pentoville,68,5440,2739,9
Strand,84,15120,2740,21
Third_community_chest,72,72,2741,33
King_cross_station,68,17000,2742,5
Bow_street,74,10360,2743,16
Vine_street,79,12640,2744,19
leicester_square,77,16940,2745,26
Third_community_chest,73,73,2746,33
Liverpool_station,60,15000,2747,35
Old_kent,61,1220,2748,1
Euston,62,3720,2749,8
Vine_street,80,12800,2750,19
Picadilly,64,15360,2751,29
Oxford_street,62,16120,2752,32
Income_Tax,71,142000,2753,4
The_angel_islington,76,4560,2754,6
Maryleborne_station,70,17500,2755,15
Free_parking,78,78,2756,20
Go_to_jail,60,60,2757,30
Strand,85,15300,2758,21
Third_community_chest,74,74,2759,33
Old_kent,62,1240,2760,1
White_chapel,64,2560,2761,3
First_chance,50,50,2762,7
Just_visiting,56,56,2763,10
Free_parking,79,79,2764,20
Picadilly,65,15600,2765,29
Liverpool_station,61,15250,2766,35
Old_kent,63,1260,2767,1
Euston,63,3780,2768,8
Vine_street,81,12960,2769,19
Transfalgar_square,69,13800,2770,24
Oxford_street,63,16380,2771,32
Income_Tax,72,144000,2772,4
The_angel_islington,77,4620,2773,6
Bow_street,75,10500,2774,16
leicester_square,78,17160,2775,26
Picadilly,66,15840,2776,29
Oxford_street,64,16640,2777,32
Go,60,60,2778,0
Just_visiting,57,57,2779,10
Electric_company,76,6080,2780,12
Strand,86,15480,2781,21
Go_to_jail,61,61,2782,30
Strand,87,15660,2783,21
Fleet_street,75,13500,2784,23
Regent_street,94,24440,2785,31
Liverpool_station,62,15500,2786,35
White_chapel,65,2600,2787,3
Maryleborne_station,71,17750,2788,15
Strand,88,15840,2789,21
Fenchchurch_station,75,18750,2790,25
Picadilly,67,16080,2791,29
Mayfair,63,31500,2792,39
First_chance,51,51,2793,7
Maryleborne_station,72,18000,2794,15
Marlborough_street,62,8680,2795,18
Picadilly,68,16320,2796,29
Third_chance,69,69,2797,36
The_angel_islington,78,4680,2798,6
White_hall,77,7700,2799,13
Transfalgar_square,70,14000,2800,24
Bond_street,68,19040,2801,34
Income_Tax,73,146000,2802,4
Maryleborne_station,73,18250,2803,15
Free_parking,80,80,2804,20
Picadilly,69,16560,2805,29
Bond_street,69,19320,2806,34
Supertax,69,69000,2807,38
Income_Tax,74,148000,2808,4
Pentoville,69,5520,2809,9
Second_community_chest,60,60,2810,17
Free_parking,81,81,2811,20
leicester_square,79,17380,2812,26
Liverpool_station,63,15750,2813,35
Go,61,61,2814,0
Euston,64,3840,2815,8
Northhumber,66,7920,2816,14
Fleet_street,76,13680,2817,23
Liverpool_station,64,16000,2818,35
First_chance,52,52,2819,7
Pentoville,70,5600,2820,9
Bow_street,76,10640,2821,16
Marlborough_street,63,8820,2822,18
Fleet_street,77,13860,2823,23
Picadilly,70,16800,2824,29
Oxford_street,65,16900,2825,32
Supertax,70,70000,2826,38
Go,62,62,2827,0
Income_Tax,75,150000,2828,4
White_hall,78,7800,2829,13
Fleet_street,78,14040,2830,23
Fenchchurch_station,76,19000,2831,25
Liverpool_station,65,16250,2832,35
Go,63,63,2833,0
The_angel_islington,79,4740,2834,6
Bow_street,77,10780,2835,16
Water_works,78,6240,2836,28
Go,64,64,2837,0
First_chance,53,53,2838,7
Bow_street,78,10920,2839,16
Fleet_street,79,14220,2840,23
Water_works,79,6320,2841,28
Liverpool_station,66,16500,2842,35
Mayfair,64,32000,2843,39
First_chance,54,54,2844,7
Northhumber,67,8040,2845,14
Fenchchurch_station,77,19250,2846,25
Conventry_street,72,15840,2847,27
Regent_street,95,24700,2848,31
Third_chance,70,70,2849,36
The_angel_islington,80,4800,2850,6
Bow_street,79,11060,2851,16
leicester_square,80,17600,2852,26
Parklane,66,23100,2853,37
First_community_chest,65,65,2854,2
Just_visiting,58,58,2855,10
Bow_street,80,11200,2856,16
Water_works,80,6400,2857,28
Third_community_chest,75,75,2858,33
Mayfair,65,32500,2859,39
First_chance,55,55,2860,7
Marlborough_street,64,8960,2861,18
Water_works,81,6480,2862,28
Supertax,71,71000,2863,38
Euston,65,3900,2864,8
Electric_company,77,6160,2865,12
Maryleborne_station,74,18500,2866,15
Second_chance,88,88,2867,22
Oxford_street,66,17160,2868,32
Mayfair,66,33000,2869,39
The_angel_islington,81,4860,2870,6
Bow_street,81,11340,2871,16
Water_works,82,6560,2872,28
Mayfair,67,33500,2873,39
First_chance,56,56,2874,7
Marlborough_street,65,9100,2875,18
Fleet_street,80,14400,2876,23
Water_works,83,6640,2877,28
Go_to_jail,62,62,2878,30
Strand,89,16020,2879,21
Picadilly,71,17040,2880,29
Supertax,72,72000,2881,38
First_community_chest,66,66,2882,2
Pall_mall,71,7100,2883,11
Fleet_street,81,14580,2884,23
Water_works,84,6720,2885,28
Mayfair,68,34000,2886,39
Income_Tax,76,152000,2887,4
White_hall,79,7900,2888,13
Vine_street,82,13120,2889,19
Fenchchurch_station,78,19500,2890,25
Water_works,85,6800,2891,28
Oxford_street,67,17420,2892,32
Parklane,67,23450,2893,37
Euston,66,3960,2894,8
Marlborough_street,66,9240,2895,18
Go_to_jail,63,63,2896,30
Northhumber,68,8160,2897,14
Marlborough_street,67,9380,2898,18
leicester_square,81,17820,2899,26
Water_works,86,6880,2900,28
Third_chance,71,71,2901,36
Supertax,73,73000,2902,38
Income_Tax,77,154000,2903,4
White_hall,80,8000,2904,13
Transfalgar_square,71,14200,2905,24
leicester_square,82,18040,2906,26
Supertax,74,74000,2907,38
Just_visiting,59,59,2908,10
White_hall,81,8100,2909,13
Fleet_street,82,14760,2910,23
Picadilly,72,17280,2911,29
Supertax,75,75000,2912,38
Go,65,65,2913,0
King_cross_station,69,17250,2914,5
Just_visiting,60,60,2915,10
Second_chance,89,89,2916,22
leicester_square,83,18260,2917,26
Liverpool_station,67,16750,2918,35
First_chance,57,57,2919,7
White_hall,82,8200,2920,13
Marlborough_street,68,9520,2921,18
Conventry_street,73,16060,2922,27
Picadilly,73,17520,2923,29
Go,66,66,2924,0
First_chance,58,58,2925,7
Electric_company,78,6240,2926,12
Maryleborne_station,75,18750,2927,15
Conventry_street,74,16280,2928,27
Liverpool_station,68,17000,2929,35
The_angel_islington,82,4920,2930,6
Bow_street,82,11480,2931,16
leicester_square,84,18480,2932,26
Parklane,68,23800,2933,37
White_chapel,66,2640,2934,3
First_chance,59,59,2935,7
Vine_street,83,13280,2936,19
Fenchchurch_station,79,19750,2937,25
Picadilly,74,17760,2938,29
Liverpool_station,69,17250,2939,35
Supertax,76,76000,2940,38
Old_kent,64,1280,2941,1
White_chapel,67,2680,2942,3
The_angel_islington,83,4980,2943,6
Just_visiting,61,61,2944,10
Northhumber,69,8280,2945,14
Strand,90,16200,2946,21
Third_community_chest,76,76,2947,33
Third_chance,72,72,2948,36
First_chance,60,60,2949,7
White_hall,83,8300,2950,13
Transfalgar_square,72,14400,2951,24
Go_to_jail,64,64,2952,30
Strand,91,16380,2953,21
Fenchchurch_station,80,20000,2954,25
Third_community_chest,77,77,2955,33
Third_chance,73,73,2956,36
Euston,67,4020,2957,8
Bow_street,83,11620,2958,16
leicester_square,85,18700,2959,26
Liverpool_station,70,17500,2960,35
First_community_chest,67,67,2961,2
King_cross_station,70,17500,2962,5
First_chance,61,61,2963,7
Pentoville,71,5680,2964,9
Marlborough_street,69,9660,2965,18
leicester_square,86,18920,2966,26
Oxford_street,68,17680,2967,32
Third_chance,74,74,2968,36
Go,67,67,2969,0
White_chapel,68,2720,2970,3
Pall_mall,72,7200,2971,11
Marlborough_street,70,9800,2972,18
Conventry_street,75,16500,2973,27
Bond_street,70,19600,2974,34
Mayfair,69,34500,2975,39
Income_Tax,78,156000,2976,4
Bow_street,84,11760,2977,16
Fenchchurch_station,81,20250,2978,25
Oxford_street,69,17940,2979,32
First_community_chest,68,68,2980,2
Pall_mall,73,7300,2981,11
Bow_street,85,11900,2982,16
Water_works,87,6960,2983,28
Mayfair,70,35000,2984,39
White_chapel,69,2760,2985,3
Euston,68,4080,2986,8
Marlborough_street,71,9940,2987,18
Strand,92,16560,2988,21
Transfalgar_square,73,14600,2989,24
Third_community_chest,78,78,2990,33
Third_chance,75,75,2991,36
Mayfair,71,35500,2992,39
Just_visiting,62,62,2993,10
Bow_street,86,12040,2994,16
Free_parking,82,82,2995,20
Fleet_street,83,14940,2996,23
Conventry_street,76,16720,2997,27
Go_to_jail,65,65,2998,30
White_hall,84,8400,2999,13
Second_chance,90,90,3000,22
Fenchchurch_station,82,20500,3001,25
Parklane,69,24150,3002,37
King_cross_station,71,17750,3003,5
Bow_street,87,12180,3004,16
Water_works,88,7040,3005,28
Supertax,77,77000,3006,38
Go,68,68,3007,0
King_cross_station,72,18000,3008,5
First_chance,62,62,3009,7
Northhumber,70,8400,3010,14
Fenchchurch_station,83,20750,3011,25
Conventry_street,77,16940,3012,27
Third_chance,76,76,3013,36
Old_kent,65,1300,3014,1
The_angel_islington,84,5040,3015,6
Euston,69,4140,3016,8
Electric_company,79,6320,3017,12
Vine_street,84,13440,3018,19
Water_works,89,7120,3019,28
Third_community_chest,79,79,3020,33
Income_Tax,79,158000,3021,4
Pentoville,72,5760,3022,9
Second_community_chest,61,61,3023,17
leicester_square,87,19140,3024,26
Picadilly,75,18000,3025,29
Oxford_street,70,18200,3026,32
Parklane,70,24500,3027,37
Pentoville,73,5840,3028,9
Bow_street,88,12320,3029,16
Water_works,90,7200,3030,28
Go_to_jail,66,66,3031,30
Marlborough_street,72,10080,3032,18
Second_chance,91,91,3033,22
Oxford_street,71,18460,3034,32
Mayfair,72,36000,3035,39
First_community_chest,69,69,3036,2
Pentoville,74,5920,3037,9
Bow_street,89,12460,3038,16
Second_chance,92,92,3039,22
Conventry_street,78,17160,3040,27
Regent_street,96,24960,3041,31
First_community_chest,70,70,3042,2
Pentoville,75,6000,3043,9
Vine_street,85,13600,3044,19
Strand,93,16740,3045,21
leicester_square,88,19360,3046,26
Parklane,71,24850,3047,37
White_chapel,70,2800,3048,3
The_angel_islington,85,5100,3049,6
Bow_street,90,12600,3050,16
Free_parking,83,83,3051,20
Transfalgar_square,74,14800,3052,24
leicester_square,89,19580,3053,26
Parklane,72,25200,3054,37
Go,69,69,3055,0
Just_visiting,63,63,3056,10
Second_chance,93,93,3057,22
Third_community_chest,80,80,3058,33
Go,70,70,3059,0
Pentoville,76,6080,3060,9
Strand,94,16920,3061,21
Go_to_jail,67,67,3062,30
Electric_company,80,6400,3063,12
Second_chance,94,94,3064,22
Picadilly,76,18240,3065,29
Liverpool_station,71,17750,3066,35
King_cross_station,73,18250,3067,5
Northhumber,71,8520,3068,14
Free_parking,84,84,3069,20
Water_works,91,7280,3070,28
Go,71,71,3071,0
Just_visiting,64,64,3072,10
Second_community_chest,62,62,3073,17
Vine_street,86,13760,3074,19
Second_chance,95,95,3075,22
Water_works,92,7360,3076,28
Bond_street,71,19880,3077,34
First_community_chest,71,71,3078,2
Northhumber,72,8640,3079,14
leicester_square,90,19800,3080,26
Bond_street,72,20160,3081,34
Go,72,72,3082,0
Income_Tax,80,160000,3083,4
Pall_mall,74,7400,3084,11
Fleet_street,84,15120,3085,23
Liverpool_station,72,18000,3086,35
First_chance,63,63,3087,7
White_hall,85,8500,3088,13
Second_community_chest,63,63,3089,17
Second_chance,96,96,3090,22
Regent_street,97,25220,3091,31
White_chapel,71,2840,3092,3
Pall_mall,75,7500,3093,11
Vine_street,87,13920,3094,19
Fleet_street,85,15300,3095,23
Third_community_chest,81,81,3096,33
Income_Tax,81,162000,3097,4
The_angel_islington,86,5160,3098,6
Bow_street,91,12740,3099,16
Vine_street,88,14080,3100,19
Strand,95,17100,3101,21
Oxford_street,72,18720,3102,32
Old_kent,66,1320,3103,1
White_chapel,72,2880,3104,3
King_cross_station,74,18500,3105,5
Euston,70,4200,3106,8
Maryleborne_station,76,19000,3107,15
Free_parking,85,85,3108,20
Fenchchurch_station,84,21000,3109,25
Third_community_chest,82,82,3110,33
Go,73,73,3111,0
First_chance,64,64,3112,7
Marlborough_street,73,10220,3113,18
Fenchchurch_station,85,21250,3114,25
Go_to_jail,68,68,3115,30
Maryleborne_station,77,19250,3116,15
leicester_square,91,20020,3117,26
Regent_street,98,25480,3118,31
Bond_street,73,20440,3119,34
White_chapel,73,2920,3120,3
King_cross_station,75,18750,3121,5
Bow_street,92,12880,3122,16
Fleet_street,86,15480,3123,23
Third_community_chest,83,83,3124,33
Mayfair,73,36500,3125,39
King_cross_station,76,19000,3126,5
Northhumber,73,8760,3127,14
Fenchchurch_station,86,21500,3128,25
Picadilly,77,18480,3129,29
Supertax,78,78000,3130,38
Income_Tax,82,164000,3131,4
Pentoville,77,6160,3132,9
Pall_mall,76,7600,3133,11
Marlborough_street,74,10360,3134,18
Fleet_street,87,15660,3135,23
Third_community_chest,84,84,3136,33
Supertax,79,79000,3137,38
The_angel_islington,87,5220,3138,6
Maryleborne_station,78,19500,3139,15
Transfalgar_square,75,15000,3140,24
Third_community_chest,85,85,3141,33
Income_Tax,83,166000,3142,4
Euston,71,4260,3143,8
Second_community_chest,64,64,3144,17
Strand,96,17280,3145,21
Fenchchurch_station,87,21750,3146,25
Third_chance,77,77,3147,36
King_cross_station,77,19250,3148,5
Just_visiting,65,65,3149,10
Northhumber,74,8880,3150,14
Second_chance,97,97,3151,22
Water_works,93,7440,3152,28
Mayfair,74,37000,3153,39
Just_visiting,66,66,3154,10
Free_parking,86,86,3155,20
Fenchchurch_station,88,22000,3156,25
Bond_street,74,20720,3157,34
Mayfair,75,37500,3158,39
King_cross_station,78,19500,3159,5
Pentoville,78,6240,3160,9
Marlborough_street,75,10500,3161,18
Picadilly,78,18720,3162,29
Parklane,73,25550,3163,37
Euston,72,4320,3164,8
White_hall,86,8600,3165,13
Strand,97,17460,3166,21
Picadilly,79,18960,3167,29
Go,74,74,3168,0
Pall_mall,77,7700,3169,11
Northhumber,75,9000,3170,14
leicester_square,92,20240,3171,26
Oxford_street,73,18980,3172,32
Old_kent,67,1340,3173,1
Pentoville,79,6320,3174,9
Strand,98,17640,3175,21
Third_community_chest,86,86,3176,33
Old_kent,68,1360,3177,1
Income_Tax,84,168000,3178,4
Just_visiting,67,67,3179,10
Vine_street,89,14240,3180,19
Regent_street,99,25740,3181,31
Old_kent,69,1380,3182,1
White_hall,87,8700,3183,13
Fenchchurch_station,89,22250,3184,25
Picadilly,80,19200,3185,29
Go,75,75,3186,0
Just_visiting,68,68,3187,10
Electric_company,81,6480,3188,12
Fleet_street,88,15840,3189,23
leicester_square,93,20460,3190,26
Third_chance,78,78,3191,36
King_cross_station,79,19750,3192,5
Second_community_chest,65,65,3193,17
Second_chance,98,98,3194,22
Water_works,94,7520,3195,28
Liverpool_station,73,18250,3196,35
Supertax,80,80000,3197,38
Just_visiting,69,69,3198,10
Marlborough_street,76,10640,3199,18
Conventry_street,79,17380,3200,27
Liverpool_station,74,18500,3201,35
Supertax,81,81000,3202,38
Go,76,76,3203,0
The_angel_islington,88,5280,3204,6
Euston,73,4380,3205,8
Pall_mall,78,7800,3206,11
Free_parking,87,87,3207,20
Regent_street,100,26000,3208,31
Third_community_chest,87,87,3209,33
Liverpool_station,75,18750,3210,35
Old_kent,70,1400,3211,1
White_hall,88,8800,3212,13
Transfalgar_square,76,15200,3213,24
Conventry_street,80,17600,3214,27
Bond_street,75,21000,3215,34
The_angel_islington,89,5340,3216,6
Electric_company,82,6560,3217,12
Transfalgar_square,77,15400,3218,24
Third_chance,79,79,3219,36
Euston,74,4440,3220,8
Northhumber,76,9120,3221,14
Strand,99,17820,3222,21
Water_works,95,7600,3223,28
Oxford_street,74,19240,3224,32
First_community_chest,72,72,3225,2
White_hall,89,8900,3226,13
Fenchchurch_station,90,22500,3227,25
Bond_street,76,21280,3228,34
Supertax,82,82000,3229,38
Go,77,77,3230,0
The_angel_islington,90,5400,3231,6
White_hall,90,9000,3232,13
Transfalgar_square,78,15600,3233,24
Regent_street,101,26260,3234,31
Bond_street,77,21560,3235,34
The_angel_islington,91,5460,3236,6
Bow_street,93,13020,3237,16
Fenchchurch_station,91,22750,3238,25
Go_to_jail,69,69,3239,30
Marlborough_street,77,10780,3240,18
Free_parking,88,88,3241,20
Oxford_street,75,19500,3242,32
Parklane,74,25900,3243,37
Income_Tax,85,170000,3244,4
Pall_mall,79,7900,3245,11
Free_parking,89,89,3246,20
Second_chance,99,99,3247,22
Transfalgar_square,79,15800,3248,24
Picadilly,81,19440,3249,29
Parklane,75,26250,3250,37
Mayfair,76,38000,3251,39
Income_Tax,86,172000,3252,4
Maryleborne_station,79,19750,3253,15
Second_chance,100,100,3254,22
leicester_square,94,20680,3255,26
Oxford_street,76,19760,3256,32
Supertax,83,83000,3257,38
Just_visiting,70,70,3258,10
Northhumber,77,9240,3259,14
Marlborough_street,78,10920,3260,18
Fleet_street,89,16020,3261,23
Water_works,96,7680,3262,28
Go,78,78,3263,0
Euston,75,4500,3264,8
Maryleborne_station,80,20000,3265,15
Second_chance,101,101,3266,22
Bond_street,78,21840,3267,34
Go,79,79,3268,0
First_chance,65,65,3269,7
Northhumber,78,9360,3270,14
Marlborough_street,79,11060,3271,18
Free_parking,90,90,3272,20
Second_chance,102,102,3273,22
Fenchchurch_station,92,23000,3274,25
Go_to_jail,70,70,3275,30
Second_community_chest,66,66,3276,17
Fleet_street,90,16200,3277,23
leicester_square,95,20900,3278,26
Third_chance,80,80,3279,36
Old_kent,71,1420,3280,1
White_chapel,74,2960,3281,3
Just_visiting,71,71,3282,10
Northhumber,79,9480,3283,14
Fleet_street,91,16380,3284,23
Go_to_jail,71,71,3285,30
Northhumber,80,9600,3286,14
Fenchchurch_station,93,23250,3287,25
Bond_street,79,22120,3288,34
Old_kent,72,1440,3289,1
Electric_company,83,6640,3290,12
Transfalgar_square,80,16000,3291,24
Oxford_street,77,20020,3292,32
Supertax,84,84000,3293,38
Old_kent,73,1460,3294,1
Income_Tax,87,174000,3295,4
Northhumber,81,9720,3296,14
leicester_square,96,21120,3297,26
Regent_street,102,26520,3298,31
Supertax,85,85000,3299,38
King_cross_station,80,20000,3300,5
Electric_company,84,6720,3301,12
Vine_street,90,14400,3302,19
Strand,100,18000,3303,21
Oxford_street,78,20280,3304,32
Supertax,86,86000,3305,38
The_angel_islington,92,5520,3306,6
Pentoville,80,6400,3307,9
Electric_company,85,6800,3308,12
Bow_street,94,13160,3309,16
Conventry_street,81,17820,3310,27
Third_community_chest,88,88,3311,33
Go,80,80,3312,0
Euston,76,4560,3313,8
Just_visiting,72,72,3314,10
Northhumber,82,9840,3315,14
Free_parking,91,91,3316,20
Picadilly,82,19680,3317,29
Go,81,81,3318,0
White_chapel,75,3000,3319,3
Maryleborne_station,81,20250,3320,15
Transfalgar_square,81,16200,3321,24
leicester_square,97,21340,3322,26
Oxford_street,79,20540,3323,32
Supertax,87,87000,3324,38
First_chance,66,66,3325,7
Vine_street,91,14560,3326,19
Water_works,97,7760,3327,28
Go,82,82,3328,0
Euston,77,4620,3329,8
Pall_mall,80,8000,3330,11
Free_parking,92,92,3331,20
Fenchchurch_station,94,23500,3332,25
Picadilly,83,19920,3333,29
Third_chance,81,81,3334,36
Euston,78,4680,3335,8
Bow_street,95,13300,3336,16
Second_chance,103,103,3337,22
Fenchchurch_station,95,23750,3338,25
Go_to_jail,72,72,3339,30
Electric_company,86,6880,3340,12
Second_community_chest,67,67,3341,17
Transfalgar_square,82,16400,3342,24
Third_chance,82,82,3343,36
First_chance,67,67,3344,7
Bow_street,96,13440,3345,16
Strand,101,18180,3346,21
Fleet_street,92,16560,3347,23
Oxford_street,80,20800,3348,32
Supertax,88,88000,3349,38
Euston,79,4740,3350,8
Maryleborne_station,82,20500,3351,15
Free_parking,93,93,3352,20
Fenchchurch_station,96,24000,3353,25
Parklane,76,26600,3354,37
White_chapel,76,3040,3355,3
Pentoville,81,6480,3356,9
Vine_street,92,14720,3357,19
leicester_square,98,21560,3358,26
Third_chance,83,83,3359,36
First_chance,68,68,3360,7
Northhumber,83,9960,3361,14
Free_parking,94,94,3362,20
Regent_street,103,26780,3363,31
Liverpool_station,76,19000,3364,35
First_community_chest,73,73,3365,2
The_angel_islington,93,5580,3366,6
Bow_street,97,13580,3367,16
Marlborough_street,80,11200,3368,18
Fenchchurch_station,97,24250,3369,25
Regent_street,104,27040,3370,31
First_community_chest,74,74,3371,2
Income_Tax,88,176000,3372,4
Pall_mall,81,8100,3373,11
Vine_street,93,14880,3374,19
Picadilly,84,20160,3375,29
Parklane,77,26950,3376,37
Old_kent,74,1480,3377,1
King_cross_station,81,20250,3378,5
Euston,80,4800,3379,8
Second_community_chest,68,68,3380,17
Picadilly,85,20400,3381,29
Oxford_street,81,21060,3382,32
Old_kent,75,1500,3383,1
White_chapel,77,3080,3384,3
Just_visiting,73,73,3385,10
Marlborough_street,81,11340,3386,18
Go_to_jail,73,73,3387,30
Marlborough_street,82,11480,3388,18
Transfalgar_square,83,16600,3389,24
Water_works,98,7840,3390,28
Parklane,78,27300,3391,37
White_chapel,78,3120,3392,3
The_angel_islington,94,5640,3393,6
Electric_company,87,6960,3394,12
Vine_street,94,15040,3395,19
leicester_square,99,21780,3396,26
Bond_street,80,22400,3397,34
The_angel_islington,95,5700,3398,6
Electric_company,88,7040,3399,12
Northhumber,84,10080,3400,14
Vine_street,95,15200,3401,19
Fleet_street,93,16740,3402,23
Liverpool_station,77,19250,3403,35
Supertax,89,89000,3404,38
First_community_chest,75,75,3405,2
Euston,81,4860,3406,8
Marlborough_street,83,11620,3407,18
Water_works,99,7920,3408,28
Regent_street,105,27300,3409,31
Mayfair,77,38500,3410,39
Pall_mall,82,8200,3411,11
White_hall,91,9100,3412,13
Free_parking,95,95,3413,20
Fenchchurch_station,98,24500,3414,25
Water_works,100,8000,3415,28
Mayfair,78,39000,3416,39
Pall_mall,83,8300,3417,11
Free_parking,96,96,3418,20
Picadilly,86,20640,3419,29
Supertax,90,90000,3420,38
Go,83,83,3421,0
Euston,82,4920,3422,8
Just_visiting,74,74,3423,10
Second_chance,104,104,3424,22
Picadilly,87,20880,3425,29
Bond_street,81,22680,3426,34
White_chapel,79,3160,3427,3
Electric_company,89,7120,3428,12
Bow_street,98,13720,3429,16
Conventry_street,82,18040,3430,27
Mayfair,79,39500,3431,39
Pentoville,82,6560,3432,9
Pall_mall,84,8400,3433,11
White_hall,92,9200,3434,13
Vine_street,96,15360,3435,19
Transfalgar_square,84,16800,3436,24
Water_works,101,8080,3437,28
Liverpool_station,78,19500,3438,35
King_cross_station,82,20500,3439,5
Pentoville,83,6640,3440,9
Second_community_chest,69,69,3441,17
Fenchchurch_station,99,24750,3442,25
Oxford_street,82,21320,3443,32
Mayfair,80,40000,3444,39
King_cross_station,83,20750,3445,5
Maryleborne_station,83,20750,3446,15
Strand,102,18360,3447,21
leicester_square,100,22000,3448,26
Parklane,79,27650,3449,37
First_chance,69,69,3450,7
White_hall,93,9300,3451,13
Free_parking,97,97,3452,20
Fleet_street,94,16920,3453,23
Bond_street,82,22960,3454,34
Mayfair,81,40500,3455,39
King_cross_station,84,21000,3456,5
First_chance,70,70,3457,7
Marlborough_street,84,11760,3458,18
Transfalgar_square,85,17000,3459,24
Oxford_street,83,21580,3460,32
White_chapel,80,3200,3461,3
Euston,83,4980,3462,8
Maryleborne_station,84,21000,3463,15
Free_parking,98,98,3464,20
Regent_street,106,27560,3465,31
Bond_street,83,23240,3466,34
White_chapel,81,3240,3467,3
The_angel_islington,96,5760,3468,6
Maryleborne_station,85,21250,3469,15
Vine_street,97,15520,3470,19
Strand,103,18540,3471,21
Transfalgar_square,86,17200,3472,24
Liverpool_station,79,19750,3473,35
King_cross_station,85,21250,3474,5
First_chance,71,71,3475,7
Just_visiting,75,75,3476,10
Marlborough_street,85,11900,3477,18
Free_parking,99,99,3478,20
Second_chance,105,105,3479,22
Transfalgar_square,87,17400,3480,24
Conventry_street,83,18260,3481,27
Third_chance,84,84,3482,36
First_community_chest,76,76,3483,2
King_cross_station,86,21500,3484,5
First_chance,72,72,3485,7
Northhumber,85,10200,3486,14
Bow_street,99,13860,3487,16
Fenchchurch_station,100,25000,3488,25
Go_to_jail,74,74,3489,30
Marlborough_street,86,12040,3490,18
Conventry_street,84,18480,3491,27
Picadilly,88,21120,3492,29
Oxford_street,84,21840,3493,32
Supertax,91,91000,3494,38
First_chance,73,73,3495,7
